# Dose   CD_pixels   EPE_pixels
5.999999999999999778e-01 9.477425921745000537e+00 -2.490600432671481030e+02
6.571428571428571397e-01 9.713203416773263044e+00 -2.488255210460991975e+02
7.142857142857143016e-01 1.001035863176590013e+01 -2.485294165098003702e+02
7.714285714285713524e-01 1.026581956959699049e+01 -2.482749191706402030e+02
8.285714285714285143e-01 1.049368269714333124e+01 -2.480479853743169087e+02
8.857142857142856762e-01 1.103159932701210799e+01 -2.475109875743325176e+02
9.428571428571428381e-01 1.157290890278875928e+01 -2.469705970497472833e+02
1.000000000000000000e+00 1.183435702841400783e+01 -2.467100730614824897e+02
1.057142857142857162e+00 1.206740268445446240e+01 -2.464779588632319189e+02
1.114285714285714324e+00 1.227870770197385575e+01 -2.462675936770900762e+02
1.171428571428571264e+00 1.247365077731572214e+01 -2.460735993298426649e+02
1.228571428571428648e+00 1.264379401984006357e+01 -2.459044139976790007e+02
1.285714285714285587e+00 1.279087185418285166e+01 -2.457583034352975062e+02
1.342857142857142971e+00 1.292464940158893327e+01 -2.456255026535827426e+02
1.399999999999999911e+00 1.304746969304253312e+01 -2.455036687329855454e+02
